title,price,liter,fuel_type,year,transmission,city
BMW 525,2190,2.5,Diesel,2002,Automatic,Klaipeda
Lancia Phedra,2199,2.2,Diesel,2004,Mechanical,Ukmerge
Volvo V70,2200,2.4,Diesel,2002,Mechanical,Vilnius
Skoda Octavia,2200,1.9,Diesel,2005,Mechanical,Vilnius
Ford Fiesta,2250,1.2,Gasoline,2011,Mechanical,Alytus
BMW 320,2250,2.0,Diesel,2003,Mechanical,Marijampole
BMW 320,2270,2.0,Diesel,2003,Mechanical,Joniskis
Peugeot 407,2299,1.6,Diesel,2007,Mechanical,Vilnius
Audi A4 B7,2300,2.0,Diesel,2006,Mechanical,Klaipeda
Fiat Ducato,2350,2.3,Diesel,2006,Mechanical,Vilnius
Volkswagen Passat,2350,2.0,Diesel,2006,Mechanical,Siauliai
Opel Astra,2350,1.6,Gasoline,2006,Mechanical,Vilkaviskis
Honda Civic VIII,2395,1.3,Gasoline,2007,Mechanical,Vilnius
Mercedes-Benz C 200 W203,2460,2.1,Diesel,2001,Mechanical,Gargzdai
Seat Leon,2490,1.6,Gasoline,2005,Mechanical,Kretinga
Nissan X-Trail,2499,2.2,Diesel,2004,Mechanical,Kaunas
Mitsubishi Lancer,2500,1.5,Gasoline,2009,Mechanical,Vilnius
Volkswagen Passat,2500,2.0,Diesel,2005,Mechanical,Siauliai
Saab 9-3,2500,2.0,Petrol / Gas,2007,Mechanical,Alytus
Alfa Romeo GT,2500,1.9,Diesel,2008,Mechanical,Vilnius
Toyota Avensis II,2500,2.0,Diesel,2007,Mechanical,Plunge
Toyota Corolla,2500,1.6,Gasoline,2006,Mechanical,Vilnius
Toyota Avensis II,2545,2.0,Diesel,2003,Mechanical,Kursenai
Nissan Note,2550,1.5,Diesel,2009,Mechanical,Kaunas
Audi A6 C6,2550,2.4,Gasoline,2004,Automatic,Klaipeda
Mercedes-Benz E 320,2599,3.2,Diesel,2003,Automatic,Vilnius
Honda Civic VIII,2600,2.2,Diesel,2006,Mechanical,Vilnius
Honda FR-V,2600,2.2,Diesel,2007,Mechanical,Druskininkai
Audi A6 C4,2600,2.5,Diesel,1997,Mechanical,Salcininkai
Renault Laguna,2600,2.0,Diesel,2008,Mechanical,Kaunas
Volkswagen Golf,2650,1.4,Gasoline,2007,Mechanical,Vilnius
Audi A4 B6,2650,2.5,Diesel,2000,Mechanical,Panevezys
Mazda Tribute,2650,2.0,Petrol / Gas,2001,Mechanical,Kaunas
Toyota Avensis,2700,2.0,Diesel,2007,Mechanical,Telsiai
BMW 320 E90,2700,2.0,Diesel,2007,Automatic,Kaunas
BMW 330 E46,2700,3.0,Diesel,2001,Mechanical,Kaunas
Subaru OUTBACK,2700,2.5,Petrol / Gas,2008,Automatic,Kaunas
Cadillac BLS,2700,1.9,Diesel,2006,Automatic,Panevezys
Volkswagen Passat B6,2700,2.0,Diesel,2006,Automatic,Jonava
Dodge Journey,2700,2.0,Diesel,2008,Automatic,Panevezys
Volkswagen Passat B7,2700,2.0,Diesel,2010,Automatic,Vilnius
BMW 320 E90,2700,2.0,Gasoline,2005,Mechanical,Utena
Volkswagen Golf V,2750,1.9,Diesel,2004,Mechanical,Panevezys
Ssangyong REXTON,2750,2.7,Diesel,2005,Automatic,Vilnius
Audi A6,2750,1.9,Diesel,2002,Mechanical,Kaunas
Opel Zafira,2800,2.2,Gasoline,2007,Mechanical,Vilkaviskis
BMW 525,2800,2.5,Diesel,2004,Automatic,Vilnius
Volkswagen Passat B6,2800,2.0,Diesel,2007,Mechanical,Vilnius
Mercedes-Benz S 430 W220,2850,4.3,Petrol / Gas,1999,Automatic,Vilnius
BMW 320 E90,2850,2.0,Diesel,2008,Mechanical,Utena
Skoda Octavia,2900,1.6,Diesel,2012,Mechanical,Kaunas
BMW 525 E60,2999,2.5,Diesel,2005,Mechanical,Vilnius
Suzuki Grand Vitara,3000,2.5,Petrol / Gas,2000,Mechanical,Kazlu Ruda
Honda Civic VIII,3000,1.4,Petrol / Gas,2006,Mechanical,Vilnius
BMW 116 E87,3000,1.6,Gasoline,2007,Mechanical,Kaunas
Volkswagen Passat B6,3100,3.2,Gasoline,2006,Automatic,Pasvalys
BMW 530,3100,3.0,Diesel,2006,Mechanical,Kaunas
Volkswagen Golf Plus,3100,1.9,Diesel,2006,Mechanical,Panevezys
Audi A4 B7,3100,2.0,Diesel,2006,Automatic,Taurage
Mercedes-Benz S 300,3100,3.0,Diesel,1997,Automatic,Vilnius
BMW X3 E83,3149,3.0,Diesel,2004,Automatic,Siauliai
Skoda Superb I,3150,1.9,Diesel,2005,Automatic,Jonava
Volkswagen Touran,3199,1.9,Diesel,2004,Mechanical,Mazeikiai
Mercedes-Benz B 200,3200,2.0,Diesel,2006,Automatic,Vilnius
BMW 320 E46,3200,2.0,Diesel,2006,Mechanical,Panevezys
BMW 530 E60,3200,3.0,Diesel,2004,Mechanical,Trakai
Volvo S80,3200,2.5,Gasoline,2005,Automatic,Vilnius
Skoda Superb I,3250,2.5,Diesel,2006,Automatic,Radviliskis
Citroen Berlingo,3300,1.6,Diesel,2008,Mechanical,Vilnius
BMW 530,3300,3.0,Diesel,2005,Automatic,Vilnius
Volkswagen Golf Plus,3300,1.9,Diesel,2006,Mechanical,Vilnius
Volkswagen Golf V,3300,1.6,Gasoline,2005,Automatic,Telsiai
Volkswagen Scirocco,3320,2.0,Diesel,2009,Mechanical,Jurbarkas
Volkswagen Phaeton,3400,3.2,Gasoline,2003,Automatic,Kaunas
Toyota Auris,3400,2.0,Diesel,2007,Mechanical,Plunge
Volkswagen Sharan,3400,1.9,Diesel,2006,Mechanical,Trakai
Volkswagen Golf VI,3400,1.4,Gasoline,2009,Mechanical,Klaipeda
Jeep Grand Cherokee,3400,5.2,Petrol / Gas,1994,Automatic,Kaunas
Nissan Note,3450,1.6,Gasoline,2007,Automatic,Vilnius
BMW 525 E60,3500,2.5,Diesel,2005,Automatic,Radviliskis
Dodge Journey,3500,2.0,Diesel,2008,Automatic,Silale
Opel Zafira B,3500,1.9,Diesel,2009,Automatic,Klaipeda
Volkswagen Crafter,3500,2.5,Diesel,2007,Mechanical,Vilnius
Audi A6 C6,3650,3.0,Diesel,2006,Automatic,Vilnius
Land Rover Freelander,3650,2.0,Diesel,2004,Mechanical,Ukmerge
BMW 320,3650,2.0,Gasoline,2007,Mechanical,Marijampole
BMW 118,3700,2.0,Diesel,2009,Mechanical,Silute
Toyota RAV4,3700,2.0,Diesel,2005,Mechanical,Silute
Mitsubishi Lancer X,3700,1.8,Gasoline,2008,Mechanical,Vilnius
BMW 525,3750,2.5,Diesel,2004,Automatic,Kaunas
Subaru OUTBACK,3750,2.5,Gasoline,2006,Automatic,Svencionys
BMW X3,3800,3.0,Diesel,2004,Automatic,Marijampole
Mercedes-Benz E 270 W211,3800,2.7,Diesel,2003,Automatic,Siauliai
Opel Zafira B,3850,1.9,Diesel,2010,Mechanical,Alytus
Citroen C5 III,3850,2.0,Diesel,2009,Mechanical,Taurage
BMW X5 E53,3900,3.0,Diesel,2003,Automatic,Kaunas
Ford Galaxy Mk3,3900,1.8,Diesel,2008,Mechanical,Kaunas
Volkswagen Golf Plus,3950,1.4,Gasoline,2009,Mechanical,Vilnius
Citroen C5 III,3950,2.0,Diesel,2009,Automatic,Taurage
BMW 525,3999,3.0,Diesel,2007,Automatic,Panevezys
Mercedes-Benz E 320,3999,3.2,Diesel,2005,Automatic,Kaunas
BMW X3,4000,3.0,Diesel,2004,Automatic,Lentvaris
BMW 525 E60,4000,2.5,Diesel,2006,Automatic,Kupiskis
Audi A8,4000,2.5,Diesel,2000,Automatic,Kaunas
Ford Transit,4200,2.4,Diesel,2007,Mechanical,Panevezys
Mercedes-Benz E 280,4200,3.0,Diesel,2008,Mechanical,Kaunas
BMW 325 E90,4300,3.0,Diesel,2006,Mechanical,Kaunas
Opel Insignia,4300,1.6,Gasoline,2011,Mechanical,Vilnius
Audi A8 D3,4300,4.2,Gasoline,2005,Automatic,Alytus
Ford Galaxy Mk3,4300,2.0,Diesel,2008,Automatic,Radviliskis
BMW X5 E53,4300,3.0,Diesel,2002,Automatic,Vilnius
BMW 118 E87,4399,2.0,Diesel,2006,Mechanical,Marijampole
Skoda Fabia II,4400,1.9,Diesel,2009,Mechanical,Kaunas
Opel Vivaro,4450,1.9,Diesel,2006,Mechanical,Joniskis
BMW 120 E87,4499,2.0,Diesel,2008,Mechanical,Jurbarkas
Opel Zafira,4500,1.9,Diesel,2009,Mechanical,Marijampole
Volkswagen Transporter T5,4500,1.9,Diesel,2004,Mechanical,Klaipeda
BMW 530 E60,4500,3.0,Diesel,2005,Automatic,Zarasai
Volkswagen Golf Plus,4500,2.0,Diesel,2008,Automatic,Alytus
Volkswagen Golf Plus,4600,1.6,Diesel,2010,Mechanical,Radviliskis
BMW X5,4650,3.0,Diesel,2002,Automatic,Klaipeda
BMW 318 E90,4700,2.0,Diesel,2008,Mechanical,Vilnius
Audi A6 C6,4700,3.0,Diesel,2005,Mechanical,Vilnius
Ford Focus Mk3,4750,1.6,Diesel,2013,Mechanical,Kaunas
Ford C-MAX,4800,1.6,Diesel,2012,Mechanical,Vilnius
Volvo V70 III,4850,2.4,Diesel,2010,Automatic,Klaipeda
Volkswagen Golf,4900,2.0,Diesel,2010,Mechanical,Kaunas
Volkswagen Jetta,4950,1.2,Gasoline,2011,Mechanical,Vilnius
Ford Galaxy,4999,2.0,Diesel,2008,Mechanical,Kretinga
BMW X5 E53,5000,3.0,Diesel,2005,Automatic,Vilnius
BMW 320 E90,5000,2.0,Diesel,2007,Mechanical,Anyksciai
BMW X3,5100,2.0,Diesel,2006,Mechanical,Marijampole
Mercedes-Benz Sprinter,5200,2.2,Diesel,2005,Mechanical,Marijampole
Mercedes-Benz ML 280 W164,5350,2.8,Diesel,2006,Automatic,Vilnius
Audi A3,5350,1.9,Diesel,2009,Mechanical,Marijampole
Opel Insignia,5399,2.0,Diesel,2011,Mechanical,Rokiskis
BMW 520,5500,2.0,Diesel,2007,Mechanical,Kaunas
Volkswagen Passat,5500,1.6,Diesel,2011,Mechanical,Kaunas
Subaru Legacy,5700,2.0,Diesel,2014,Mechanical,Siauliai
Audi A5,5750,1.8,Gasoline,2008,Mechanical,Telsiai
Ford C-MAX II,5800,1.0,Gasoline,2013,Mechanical,Vilnius
BMW 530 E39,5899,3.0,Diesel,2001,Automatic,Alytus
Audi A4 B8,6000,2.7,Diesel,2008,Automatic,Klaipeda
Volkswagen Passat,6100,1.6,Diesel,2019,Automatic,Vilnius
Volkswagen Jetta,6200,2.0,Petrol / Gas,2013,Automatic,Druskininkai
BMW X5 E53,6200,3.0,Diesel,2006,Automatic,Taurage
Toyota Prius IV,6200,1.8,N/A,2009,Automatic,Vilnius
Land Rover Range Rover Sport,6300,27.,Diesel,2007,Automatic,Vilnius
Audi A3 8P,6400,2.0,Diesel,2009,Mechanical,Telsiai
Volkswagen Polo,6450,1.4,Diesel,2014,Mechanical,Kaunas
Skoda Superb,6500,1.6,Diesel,2017,Mechanical,Vilnius
Honda CR-V,6650,2.2,Diesel,2007,Mechanical,Kursenai
Volkswagen Passat B7,6700,2.0,Diesel,2013,Mechanical,Kaunas
Volvo XC70,6700,2.4,Diesel,2015,Mechanical,Vilnius
Mercedes-Benz C 200 W204,6700,1.8,Gasoline,2011,Automatic,Vilnius
Fiat Ducato III,6900,3.0,Petrol / Gas,2012,Mechanical,Jurbarkas
BMW 520 E60,6950,2.0,Diesel,2007,Mechanical,Alytus
BMW 320,6990,2.0,Diesel,2008,Automatic,Kretinga
Renault Trafic,6999,2.5,Diesel,2009,Mechanical,Rokiskis
Volkswagen Tiguan,7100,2.0,Diesel,2009,Automatic,Vilnius
Audi A5,7100,3.2,Gasoline,2010,Automatic,Telsiai
Volkswagen Tiguan,7200,1.4,Gasoline,2009,Mechanical,Vilnius
Volkswagen Multivan,7400,2.5,Diesel,2005,Automatic,Vilnius
Hyundai ix35,7449,1.7,Diesel,2011,Mechanical,Vilnius
BMW X1,7999,2.0,Diesel,2010,Automatic,Vilnius
Hyundai ix35,8300,2.0,Gasoline,2010,Mechanical,Kaunas
Chevrolet Trax,8600,1.7,Diesel,2014,Automatic,Prienai
Mercedes-Benz ML 280 W164,8700,3.0,Diesel,2008,Automatic,Kaunas
Volvo XC60,8700,2.0,Diesel,2010,Automatic,Vilnius
BMW 320,8900,2.0,Diesel,2014,Automatic,Marijampole
BMW X1,10200,2.0,Diesel,2013,Automatic,Vilnius
Mitsubishi Outlander,10500,2.0,N/A,2013,Automatic,Utena
Ford Transit Connect,10500,1.6,Diesel,2015,Mechanical,Kaunas
BMW X6 E71,10650,4.4,N/A,2011,Automatic,Vilnius
Mercedes-Benz E 250 W212,10900,2.1,Diesel,2012,Automatic,Siauliai
Skoda Octavia,11000,1.6,Diesel,2014,Mechanical,Vilnius
Volkswagen Passat,11000,1.4,N/A,2018,Automatic,Klaipeda
Audi A6 C7,11900,2.0,Diesel,2012,Automatic,Mazeikiai
Audi A5,12000,2.7,Diesel,2011,Automatic,Vievis
Audi A6,12000,3.0,Diesel,2012,Mechanical,Vilnius
